step,total,lm,rec,kl
10,9.581302,7.4408,2.140499,0.189391
20,9.258662,7.118502,2.140159,0.15948
30,10.134949,7.958249,2.176698,0.17445
40,9.795965,7.700446,2.095517,0.186778
50,9.658005,7.441712,2.216291,0.193024
60,9.742607,7.712055,2.03055,0.206857
70,10.045958,7.883207,2.162749,0.212823
80,9.844751,7.841712,2.003038,0.21322
90,9.733735,7.56707,2.166663,0.263032
100,9.315684,7.22209,2.093592,0.285901
110,9.394858,7.090741,2.304114,0.337029
120,9.326611,7.120924,2.205683,0.412204
130,9.326908,7.079125,2.247776,0.779397
140,9.145135,7.072984,2.07214,1.12622
150,9.16575,6.965576,2.200158,1.582511
160,8.610124,6.54966,2.060441,2.244189
170,8.358384,6.243542,2.11479,5.211694
180,8.363903,6.287692,2.076138,7.346096
190,8.397245,6.36404,2.033099,10.715332
200,8.934489,6.80902,2.125304,16.634052
210,8.047804,5.870308,2.177153,34.238346
220,7.882084,5.745486,2.136122,47.609688
230,7.836633,5.651913,2.184127,59.278336
240,8.033839,5.974123,2.058952,76.45079
250,7.65111,5.526399,2.123889,82.117981
260,7.485335,5.397455,2.086964,91.632385
270,7.422674,5.414452,2.007183,103.842255
280,7.788039,5.751376,2.035461,120.112488
290,7.562484,5.539238,2.022011,123.489655
300,8.455079,6.465471,1.988468,113.977463
310,7.358314,5.31608,2.040983,125.005226
320,7.198596,5.300991,1.896364,124.125595
330,7.992542,5.916968,2.074439,113.518166
340,7.459043,5.488239,1.969763,104.081841
350,6.652836,4.778305,1.873545,98.67923
360,7.102799,5.131134,1.970611,105.451073
370,7.508455,5.496393,2.010817,124.541107
380,7.780171,5.869956,1.9089,131.492004
390,7.546876,5.709716,1.835812,134.774658
400,7.801635,5.991156,1.809201,127.751915
410,7.595509,5.608664,1.985664,118.167038
420,7.060349,5.176645,1.882509,119.552376
430,7.150132,5.319446,1.829396,128.986053
440,6.992732,5.09064,1.900738,135.358322
450,7.452075,5.69319,1.757262,162.292496
460,6.442983,4.671385,1.769983,161.461823
470,7.061362,5.51961,1.53999,176.21228
480,7.115292,5.515734,1.597746,181.198807
490,7.420483,5.614837,1.803665,198.131607
500,7.012455,5.216054,1.794429,197.180359
510,7.179049,5.39539,1.781656,200.266403
520,7.499564,5.79837,1.699206,198.814117
530,6.721526,5.034979,1.684584,196.312927
540,6.867377,5.213984,1.651363,203.095413
550,6.759162,5.132247,1.624624,229.142426
560,6.838209,5.200829,1.634844,253.571121
570,7.280775,5.7974,1.480269,310.605133
580,6.955417,5.331689,1.62036,336.807526
590,8.034518,6.245008,1.785884,362.584747
600,6.789305,5.332561,1.453014,372.918365
610,6.277763,4.81474,1.459019,400.283997
620,7.491677,5.96914,1.518483,405.424652
630,6.719116,5.364515,1.350588,401.283173
640,6.626128,5.195851,1.426453,382.485535
650,6.811162,5.387093,1.420382,368.76001
660,6.803856,5.471654,1.328616,358.575531
670,6.554918,5.281763,1.269571,358.380219
680,6.471002,5.124812,1.342635,355.433258
690,6.955084,5.673684,1.277985,341.570709
700,6.417779,5.063239,1.350961,357.850739
710,6.553349,5.34089,1.208587,387.189056
720,6.479711,5.23547,1.240223,401.838562
730,6.484464,5.265172,1.214776,451.673248
740,6.39907,5.176453,1.218053,456.375641
750,6.858994,5.614059,1.240252,468.409546
760,6.398028,5.096902,1.296567,455.984589
770,6.404966,5.227805,1.172597,456.358612
780,6.232703,5.049698,1.178663,434.267181
790,6.574804,5.353941,1.216874,398.890472
800,6.107012,4.919516,1.183547,394.9664
810,6.472809,5.300159,1.169022,362.879486
820,6.764956,5.621721,1.139552,368.343353
830,6.579706,5.398849,1.177163,369.411133
840,6.466266,5.185049,1.277669,354.885681
850,6.255617,5.062799,1.189005,381.26474
860,5.738419,4.600708,1.133782,392.822266
870,6.245507,5.090515,1.150984,400.813416
880,6.346461,5.25298,1.089352,412.923584
890,6.09236,4.994005,1.093837,451.725647
900,6.210068,4.752304,1.453118,464.613098
910,6.237105,5.130571,1.101912,462.212311
920,5.999876,4.837903,1.157237,473.551117
930,5.899831,4.751129,1.144253,444.919983
940,6.733668,5.647024,1.082162,448.229065
950,6.456967,5.339931,1.112702,433.351959
960,5.883101,4.659782,1.219639,367.958588
970,6.386672,5.275554,1.10708,403.883087
980,6.142077,5.14974,0.988251,408.562378
990,6.450265,5.011306,1.434707,425.170441
1000,6.011928,4.975738,1.031872,431.754211
1010,6.076487,5.035874,1.035979,463.310638
1020,6.083605,4.99066,1.088163,478.23175
1030,5.927072,4.841282,1.080878,491.182587
1040,6.596355,5.134585,1.45693,484.087463
1050,6.202744,5.175583,1.02276,440.019318
1060,6.108393,5.179387,0.924585,442.140411
1070,6.465043,5.482277,0.978359,440.689056
1080,5.894315,4.894487,0.995268,456.054688
1090,6.171469,5.251423,0.914818,522.799622
1100,6.171222,5.215258,0.950356,560.807983
1110,6.347512,5.329024,1.01268,580.891541
1120,5.979564,4.885463,1.088332,576.856262
1130,6.399771,5.327361,1.066693,571.68866
1140,5.867035,4.808674,1.052765,559.634949
1150,6.320426,5.372978,0.941779,566.841003
